Commune;Code département;Département;EPCI;Code région;Région;Compte;Date de la donnée;Code EPCI;Régime d'exploitation;Puissance de raccordement;Filière;Coordonnées géographiques;Code Insee Commune
Arradon;56;Morbihan;CA Golfe du Morbihan - Vannes Agglomération;53;Bretagne;27;2019-12;200067932;Realised;319.3500000000001;Solaire;47.63372506, -2.823279304;56003
Arzal;56;Morbihan;CC Arc Sud Bretagne;53;Bretagne;1;2019-12;200027027;;;Solaire;47.520204557, -2.40459766;56004
Arzal;56;Morbihan;CC Arc Sud Bretagne;53;Bretagne;21;2019-12;200027027;Realised;683.8299999999999;Solaire;47.520204557, -2.40459766;56004
Arzon;56;Morbihan;CA Golfe du Morbihan - Vannes Agglomération;53;Bretagne;19;2019-12;200067932;Realised;175.14999999999998;Solaire;47.54784919, -2.8871965150000003;56005
Aubigné;35;Ille-et-Vilaine;CC du Val d'Ille-Aubigné;53;Bretagne;8;2019-12;243500667;;;Solaire;48.298797096, -1.630940511;35007
Baguer-Morvan;35;Ille-et-Vilaine;CC du Pays de Dol et de la Baie du Mont-Saint-Michel;53;Bretagne;6;2019-12;200070670;;;Solaire;48.504768659, -1.771692622;35009
Balazé;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;37;2019-12;200039022;Realised;387.92;Solaire;48.177851387, -1.183209965;35015
Bazouges-la-Pérouse;35;Ille-et-Vilaine;CC Couesnon Marches de Bretagne;53;Bretagne;1;2019-12;200070688;;;Solaire;48.440532122, -1.563608208;35019
Bazouges-la-Pérouse;35;Ille-et-Vilaine;CC Couesnon Marches de Bretagne;53;Bretagne;21;2019-12;200070688;Realised;229.9;Solaire;48.440532122, -1.563608208;35019
Beaussais-sur-Mer;22;Côtes-d'Armor;CC Côte d'Émeraude;53;Bretagne;1;2019-12;243500725;;;Solaire;48.560481164, -2.136436824;22209
Belz;56;Morbihan;CC Auray Quiberon Terre Atlantique;53;Bretagne;28;2019-12;200043123;Realised;185.10000000000002;Solaire;47.672221985, -3.16225217;56013
Berné;56;Morbihan;CC Roi Morvan Communauté;53;Bretagne;1;2019-12;245614417;;;Solaire;47.984844159, -3.373779288;56014
Billé;35;Ille-et-Vilaine;CA Fougères Agglomération;53;Bretagne;11;2019-12;200072452;Realised;38.099999999999994;Solaire;48.293817752, -1.251145326;35025
Binic-Étables-sur-Mer;22;Côtes-d'Armor;CA Saint-Brieuc Armor Agglomération;53;Bretagne;41;2019-12;200069409;Realised;254.4;Solaire;48.616869203, -2.837912449;22055
Bléruais;35;Ille-et-Vilaine;CC de Saint-Méen Montauban;53;Bretagne;4;2019-12;200038990;;;Solaire;48.115774615, -2.115551084;35026
Bodilis;29;Finistère;CC du Pays de Landivisiau;53;Bretagne;12;2019-12;242900751;Realised;38.1;Solaire;48.515368936, -4.1200308660000005;29010
Boistrudan;35;Ille-et-Vilaine;CC Roche aux Fées Communauté;53;Bretagne;8;2019-12;243500634;Realised;82.10000000000001;Solaire;47.975559326, -1.397445972;35028
Mont-Dol;35;Ille-et-Vilaine;CC du Pays de Dol et de la Baie du Mont-Saint-Michel;53;Bretagne;8;2020-12;200070670;;;Solaire;48.570724437, -1.758219853;35186
Montautour;35;Ille-et-Vilaine;CA Vitré Communauté;53;Bretagne;8;2020-12;200039022;Realised;52.800000000000004;Solaire;48.2046505, -1.120764934;35185
